seq,uri,label,subPropertyOf,range,unitMeasure
30,http://w3id.org/foodie/fadn#SE100,Pigs,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/Number
31,http://w3id.org/foodie/fadn#SE105,Poultry,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/Number
32,http://w3id.org/foodie/fadn#SE110,Yield of wheat,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerHectare
33,http://w3id.org/foodie/fadn#SE110D,Yield of wheat D,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerHectare
34,http://w3id.org/foodie/fadn#SE110N,Yield of wheat N,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerHectare
35,http://w3id.org/foodie/fadn#SE115,Yield of maize,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerHectare
36,http://w3id.org/foodie/fadn#SE115D,Yield of maize D,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerHectare
37,http://w3id.org/foodie/fadn#SE115N,Yield of maize N,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerHectare
38,http://w3id.org/foodie/fadn#SE120,Stocking density,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/LivestockPerHectare
39,http://w3id.org/foodie/fadn#SE120D,Stocking density D,http://purl.org/linked-data/sdmx/2009/measure#obsValue,http://www.w3.org/2001/XMLSchema#double,http://www.ontology-of-units-of-measure.org/resource/om-2/LivestockPerHectare
